"Date","Qmax","Qmean"
2007-10-15,11900,9304
2007-10-16,12600,10227
2007-10-17,12700,10224
2007-10-18,12700,10282
2007-10-19,12600,10203
2007-10-20,12400,9631
2007-10-21,12000,9352
2007-10-22,12100,9887
2007-10-23,12700,10013
2007-10-24,12500,10032
2007-10-25,12400,9999
2007-10-26,12600,10056
2007-10-27,12500,9605
2007-10-28,12100,9252
2007-10-29,12000,9805
2007-10-30,12400,9974
2007-10-31,12500,10345
2007-11-01,13100,10720
2007-11-02,12400,10498
2007-11-03,12600,9947
2007-11-04,12300,9913
2007-11-05,12100,10106
2007-11-06,12600,10265
2007-11-07,13000,10371
2007-11-08,12800,10427
2007-11-09,12900,10494
2007-11-10,12900,10306
2007-11-11,12000,9863
2007-11-12,12400,10485
2007-11-13,12500,10314
2007-11-14,12600,10551
2007-11-15,12200,10240
2007-11-16,12600,10358
2007-11-17,12400,10209
2007-11-18,11500,9546
2007-11-19,12400,10459
2007-11-20,12700,10372
2007-11-21,12900,10676
2007-11-22,12700,10298
2007-11-23,11600,10165
2007-11-24,12800,10492
2007-11-25,11800,10200
2007-11-26,12500,10618
2007-11-27,12700,10798
2007-11-28,12700,10681
2007-11-29,12800,10813
2007-11-30,12800,10648
2007-12-01,13000,11185
2007-12-02,15700,12435
2007-12-03,15800,13176
2007-12-04,16600,13806
2007-12-05,16500,13763
2007-12-06,16500,13541
2007-12-07,16900,13750
2007-12-08,16700,13056
2007-12-09,15800,12480
2007-12-10,15700,13272
2007-12-11,16600,13650
2007-12-12,16800,13855
2007-12-13,16600,13759
2007-12-14,16600,13808
2007-12-15,16300,12671
2007-12-16,15300,12432
2007-12-17,16300,13325
2007-12-18,16400,13543
2007-12-19,16800,13832
2007-12-20,16900,13854
2007-12-21,16800,13695
2007-12-22,16500,12903
2007-12-23,15300,12278
2007-12-24,15800,13134
2007-12-25,16300,12504
2007-12-26,14400,12147
2007-12-27,16800,13864
2007-12-28,16900,14059
2007-12-29,16900,13396
2007-12-30,16400,12606
2007-12-31,16600,13801
2008-01-01,16800,13031
2008-01-02,16100,13279
2008-01-03,16600,13787
2008-01-04,16500,13559
2008-01-05,16600,13130
2008-01-06,15900,12543
2008-01-07,15600,13129
2008-01-08,16700,13679
2008-01-09,16600,13598
2008-01-10,16500,13517
2008-01-11,16500,13646
2008-01-12,16300,12952
2008-01-13,15500,12257
2008-01-14,15800,13236
2008-01-15,16600,13755
2008-01-16,16600,13829
2008-01-17,16400,13731
2008-01-18,16400,13526
2008-01-19,16500,12985
2008-01-20,15700,12502
2008-01-21,15800,13238
2008-01-22,16400,13475
2008-01-23,16400,13514
2008-01-24,16500,13522
2008-01-25,16400,13448
2008-01-26,16300,12895
2008-01-27,15400,12212
2008-01-28,15600,13036
2008-01-29,16300,13097
2008-01-30,16100,13106
2008-01-31,16400,13303
2008-02-01,15100,12104
2008-02-02,13300,10445
2008-02-03,12400,10042
2008-02-04,13300,10685
2008-02-05,13300,10745
2008-02-06,12800,10725
2008-02-07,13100,10683
2008-02-08,12900,10543
2008-02-09,13300,10344
2008-02-10,12800,10207
2008-02-11,13600,10893
2008-02-12,13100,10640
2008-02-13,13200,10603
2008-02-14,13600,10787
2008-02-15,13200,10740
2008-02-16,13100,10313
2008-02-17,12400,10093
2008-02-18,13800,10763
2008-02-19,13400,10830
2008-02-20,13200,10877
2008-02-21,13200,10706
2008-02-22,13400,10758
2008-02-23,13800,10768
2008-02-24,12500,10192
2008-02-25,13800,10886
2008-02-26,13700,10930
2008-02-27,13100,10845
2008-02-28,13100,10792
2008-02-29,13200,10751
2008-03-01,13400,10174
2008-03-02,12000,9362
2008-03-03,12200,10014
2008-03-04,12400,10237
2008-03-05,31400,19537
2008-03-06,42800,38940
2008-03-07,42700,42502
2008-03-08,42800,42503
2008-03-09,42500,26472
2008-03-10,12200,10150
2008-03-11,12500,10323
2008-03-12,12500,10392
2008-03-13,12500,10356
2008-03-14,12300,10227
2008-03-15,12400,9632
2008-03-16,12000,9181
2008-03-17,11900,9944
2008-03-18,12400,10281
2008-03-19,12100,10253
2008-03-20,12100,10136
2008-03-21,12200,10028
2008-03-22,12000,9650
2008-03-23,11300,8962
2008-03-24,12000,9974
2008-03-25,12300,10148
2008-03-26,12300,10302
2008-03-27,12400,10210
2008-03-28,12000,10222
2008-03-29,11800,9637
2008-03-30,11500,8878
2008-03-31,12100,9724
2008-04-01,12200,9984
2008-04-02,12700,10484
2008-04-03,12800,10424
2008-04-04,13000,10511
2008-04-05,12800,10073
2008-04-06,12200,9321
2008-04-07,12000,9921
2008-04-08,12900,10510
2008-04-09,12800,10496
2008-04-10,12700,10444
2008-04-11,12800,10462
2008-04-12,12800,10085
2008-04-13,12100,9456
2008-04-14,11300,9862
2008-04-15,14000,11808
2008-04-16,15700,13220
2008-04-17,15600,13122
2008-04-18,15500,13081
2008-04-19,15400,12398
2008-04-20,14800,11551
2008-04-21,14500,12484
2008-04-22,15500,13178
2008-04-23,15400,13323
2008-04-24,15700,13388
2008-04-25,15600,13245
2008-04-26,15600,12530
2008-04-27,14900,11545
2008-04-28,14600,12531
2008-04-29,15800,13585
2008-04-30,16000,13768
2008-05-01,16200,13491
2008-05-02,15400,13182
2008-05-03,15300,12640
2008-05-04,15000,12358
2008-05-05,15100,12900
2008-05-06,15200,13093
2008-05-07,15400,13231
2008-05-08,15600,13254
2008-05-09,15500,13257
2008-05-10,15500,12862
2008-05-11,15200,12514
2008-05-12,15400,13045
2008-05-13,15500,13263
2008-05-14,15400,13173
2008-05-15,15400,13310
2008-05-16,15600,13284
2008-05-17,15300,12642
2008-05-18,15300,12434
2008-05-19,15300,13150
2008-05-20,15500,13354
2008-05-21,15700,13484
2008-05-22,15700,13511
2008-05-23,15700,13516
2008-05-24,15600,12913
2008-05-25,15500,12713
2008-05-26,15400,12683
2008-05-27,15400,13143
2008-05-28,15600,13450
2008-05-29,15700,13816
2008-05-30,15800,13961
2008-05-31,15600,13566
2008-06-01,15500,13052
2008-06-02,15800,13478
2008-06-03,16100,13782
2008-06-04,16300,13861
2008-06-05,15700,13353
2008-06-06,15700,13481
2008-06-07,15600,13184
2008-06-08,15900,13080
2008-06-09,15800,13599
2008-06-10,16000,13708
2008-06-11,16200,13803
2008-06-12,16300,13779
2008-06-13,16200,13790
2008-06-14,16100,13284
2008-06-15,15800,12949
2008-06-16,16200,13688
2008-06-17,16300,13908
2008-06-18,16200,13838
2008-06-19,16400,13882
2008-06-20,16000,13969
2008-06-21,15900,13484
2008-06-22,15700,12997
2008-06-23,16000,13636
2008-06-24,16300,13952
2008-06-25,16400,13985
2008-06-26,16200,13919
2008-06-27,16200,13976
2008-06-28,16300,13546
2008-06-29,16200,13276
2008-06-30,16000,13793
2008-07-01,17400,13695
2008-07-02,17600,13857
2008-07-03,17700,13884
2008-07-04,17700,13585
2008-07-05,17700,13615
2008-07-06,17900,13607
2008-07-07,18000,13979
2008-07-08,17900,14128
2008-07-09,18000,14173
2008-07-10,18100,14281
2008-07-11,18100,14242
2008-07-12,17900,13915
2008-07-13,17700,13736
2008-07-14,17500,13892
2008-07-15,18000,14608
2008-07-16,18400,14961
2008-07-17,18500,14911
2008-07-18,18400,15081
2008-07-19,18500,14604
2008-07-20,18300,14418
2008-07-21,18200,14627
2008-07-22,18600,15068
2008-07-23,18500,15143
2008-07-24,18200,14918
2008-07-25,18500,15070
2008-07-26,18600,14688
2008-07-27,18300,14452
2008-07-28,18200,14584
2008-07-29,18500,14975
2008-07-30,18700,15133
2008-07-31,18700,15000
2008-08-01,18600,15048
2008-08-02,18600,14735
2008-08-03,18100,14212
2008-08-04,18000,14931
2008-08-05,18500,15238
2008-08-06,18500,15222
2008-08-07,18500,15065
2008-08-08,18400,15066
2008-08-09,18500,14618
2008-08-10,18200,14119
2008-08-11,18100,14917
2008-08-12,18500,15199
2008-08-13,18500,15170
2008-08-14,18600,15150
2008-08-15,18500,15204
2008-08-16,18700,14635
2008-08-17,18300,14385
2008-08-18,18200,15027
2008-08-19,18300,15110
2008-08-20,18700,15101
2008-08-21,18500,15223
2008-08-22,18300,15200
2008-08-23,18300,14661
2008-08-24,18100,14273
2008-08-25,18100,14853
2008-08-26,18500,15114
