"BarcodeID","TripID","Region","Reach","Date","SampleNumber","RiverMile","DepthTotal","DepthSample","DepthIntegrated","GearID","TimeDay","TimeBegin","TimeElapsed","SuspendedLoad","Collector","FmUse","FiltrationEfficiency","Distance","Velocity","Volume","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"D00001","LF20110210","GrandCanyon","CRLeesFerry","02/10/2011","1",0.00,19.00,,1,4,"Day","16:57:00",304,,,"Net",,189.46,0.62,38.40,1,1,,"PhillipsC","10/05/2012",1.50,0,,,"Discharge = 20300 cfs. Not extrapolated up for unmeasured individuals."
"D00002","LF20110210","GrandCanyon","CRLeesFerry","02/10/2011","2",0.00,19.00,,1,4,"Day","17:09:00",322,,,"Net",,198.82,0.62,40.30,0,0,,"EvansM","10/05/2012",1.25,0,,,"Discharge = 20300 cfs."
"D00003","LF20110210","GrandCanyon","CRLeesFerry","02/10/2011","3",0.00,19.00,,1,4,"Day","17:20:00",276,,,"Net",,167.78,0.61,34.01,0,0,,"EvansM","10/09/2012",0.88,0,,,"Discharge = 20300 cfs."
"D00004","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","4",0.00,19.00,,1,4,"Day","09:01:00",272,,,"Net",,152.95,0.56,31.00,0,0,,"EvansM","10/10/2012",0.60,0,,,"Discharge = 18000 cfs."
"D00005","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","5",0.00,,,1,4,"Day","09:09:00",245,,,"Net",,158.87,0.65,32.20,0,0,,"QuigleyT","10/05/2012",0.78,0,,,"Discharge = 18150 cfs."
"D00006","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","6",0.00,,,1,4,"Day","09:18:00",330,,,"Net",,188.81,0.57,38.27,0,0,,"QuigleyT","10/05/2012",0.72,0,,,"Discharge = 18300 cfs."
"D00007","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","8",0.00,,,1,4,"Day","09:53:00",295,,,"Net",,166.03,0.56,33.65,1,1,,"EvansM","10/09/2012",0.65,0,,,"Discharge = 19000 cfs. Not extrapolated up for unmeasured individuals."
"D00008","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","10",0.00,,,1,4,"Day","10:22:00",308,,,"Net",,181.87,0.59,36.87,1,1,,"QuigleyT","10/05/2012",1.17,0,,,"Discharge = 19150 cfs. Not extrapolated up for unmeasured individuals."
"D00009","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","12",0.00,,,1,4,"Day","10:43:00",312,,,"Net",,169.31,0.54,34.32,0,0,,"EvansM","10/10/2012",0.82,0,,,"Discharge = 19400 cfs."
"D00010","LF20110210","GrandCanyon","CRLeesFerry","02/11/2011","13",0.00,,,1,4,"Day","10:51:00",331,,,"Net",,183.08,0.55,37.11,1,1,,"QuigleyT","10/05/2012",1.58,0,,,"Discharge = 19450 cfs. Not extrapolated up for unmeasured individuals."
"D00011","LF20110302","GrandCanyon","CRLeesFerry","03/02/2011","1",-11.50,,,1,4,"Day","14:30:35",310,,,"Net",,606.68,1.96,122.97,1,0,,"EvansM","10/10/2012",1.02,0,,,"Bongo sampler used."
"D00012","LF20110302","GrandCanyon","CRLeesFerry","03/02/2011","2",-11.50,,,1,4,"Day","14:30:35",310,,,"Net",,612.97,1.98,124.25,1,0,,"EvansM","10/11/2012",1.00,0,,,"Bongo sampler used."
"D00013","LF20110302","GrandCanyon","CRLeesFerry","03/02/2011","3",-11.50,,,1,4,"Day","15:01:12",297,,,"Net",,489.88,1.65,99.30,1,0,,"EvansM","10/11/2012",0.85,0,,,"Bongo sampler used."
"D00014","LF20110302","GrandCanyon","CRLeesFerry","03/03/2011","4",-6.00,34.00,,1,4,"Day","12:07:00",300,,,"Net",,232.71,0.78,47.17,1,0,,"EvansM","10/10/2012",0.50,0,,,"Bongo sampler used."
"D00015","LF20110302","GrandCanyon","CRLeesFerry","03/03/2011","5",-6.00,34.00,,1,4,"Day","12:07:00",300,,,"Net",,231.90,0.77,47.01,1,0,,"EvansM","10/16/2012",0.73,0,,,"Bongo sampler used."
"D00016","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","2",225.40,36.00,18.00,0,4,"Day","14:11:00",258,,,"Net",,148.25,0.57,30.05,0,0,,"EvansM","10/15/2012",1.47,0,,,"Discharge = 17200 cfs."
"D00017","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","3",225.40,36.00,18.00,0,4,"Day","14:18:00",320,,,"Net",,153.65,0.48,31.14,0,0,,"EvansM","10/17/2012",1.97,0,,,"Discharge = 17200 cfs."
"D00018","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","4",224.00,50.00,25.00,0,4,"Day","16:49:33",887,,,"Net",,172.16,0.19,34.90,1,0,,"EvansM","10/12/2012",2.83,0,,,"Lagrangian sampling below River Mile 224 Rapid. Long sample duration verified (2017-06-28 JDM)."
"D00019","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","6",224.10,27.00,15.00,0,4,"Day","17:26:00",255,,,"Net",,135.84,0.53,27.53,0,0,,"EvansM","10/12/2012",1.78,0,,,"Lagrangian sampling below River Mile 224 Rapid."
"D00020","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","7",224.10,27.00,15.00,0,4,"Day","17:33:03",244,,,"Net",,129.90,0.53,26.33,0,0,,"EvansM","10/12/2012",2.00,0,,,"Lagrangian sampling below River Mile 224 Rapid."
"D00021","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","8",224.30,50.00,25.00,0,4,"Day","17:43:48",267,,,"Net",,228.33,0.86,46.28,0,0,,"QuigleyT","10/16/2012",8.50,0,,,"Lagrangian sampling below River Mile 224 Rapid."
"D00022","GC20110308","GrandCanyon","CRGrandCanyon","03/08/2011","9",224.30,50.00,25.00,0,4,"Day","17:52:49",271,,,"Net",,218.83,0.81,44.36,0,0,,"EvansM","10/15/2012",2.38,0,,,"Lagrangian sampling below River Mile 224 Rapid."
"D00023","GC20120419","GrandCanyon","CRGrandCanyon","04/21/2012","3",19.00,26.00,22.00,0,4,"Crepuscular","18:36:00",328,,,"Net",,215.04,0.66,43.59,0,0,,"PhillipsC","09/17/2012",5.25,0,,,"Natal Origins 2012 April trip."
"D00024","GC20120419","GrandCanyon","CRGrandCanyon","04/21/2012","5",19.00,26.00,22.00,0,4,"Crepuscular","19:36:00",332,,,"Net",,245.35,0.74,49.73,0,0,,"EvansM","09/14/2012",5.10,0,,,"Natal Origins 2012 April trip."
"D00025","GC20120419","GrandCanyon","CRGrandCanyon","04/21/2012","6",19.00,26.00,11.00,0,4,"Crepuscular","19:47:00",306,,,"Net",,226.50,0.74,45.91,0,0,,"PhillipsC","09/14/2012",6.58,0,,,"Natal Origins 2012 April trip."
"D00026","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","3",19.00,28.00,24.00,0,4,"Day","12:15:00",338,,,"Net",,179.40,0.53,36.36,0,0,,"PhillipsC","09/18/2012",5.42,0,,,"Natal Origins 2012 April trip."
"D00027","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","4",19.00,28.00,12.00,0,4,"Day","12:28:00",341,,,"Net",,229.86,0.67,46.59,0,0,,"EvansM","09/21/2012",3.37,0,,,"Natal Origins 2012 April trip."
"D00028","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","5",19.00,28.00,24.00,0,4,"Day","12:40:00",332,,,"Net",,154.89,0.47,31.40,0,0,,"PhillipsC","09/21/2012",5.00,0,,,"Natal Origins 2012 April trip."
"D00029","GC20120419","GrandCanyon","CRGrandCanyon","04/22/2012","8",19.00,28.00,12.00,0,4,"Crepuscular","18:18:00",332,,,"Net",,250.09,0.75,50.69,0,0,,"PhillipsC","09/28/2012",5.50,0,,,"Natal Origins 2012 April trip. Taken in a place a bit shallower than the Day samples. "
