BarcodeID,TripID,Date,GearID,TimeDay,TimeBegin,TimeElapsed,DepthTotal,DepthSample,DepthIntegrated,Velocity,Volume,Temperature,Discharge,Stage,SpC,FlagStrange,Notes
D00002,LF20110210,2/10/2011,4,Day,17:09:00,322,19,NA,1,0.62,40.3,8,18600,10.38,697,0,Discharge = 20300 cfs.
D00003,LF20110210,2/10/2011,4,Day,17:20:00,276,19,NA,1,0.61,34.01,8,18600,10.38,697,0,Discharge = 20300 cfs.
D00004,LF20110210,2/11/2011,4,Day,9:01:00,272,19,NA,1,0.56,31,8.1,17100,10.09,695,0,Discharge = 18000 cfs.
D00005,LF20110210,2/11/2011,4,Day,9:09:00,245,NA,NA,1,0.65,32.2,8.1,17000,10.06,695,0,Discharge = 18150 cfs.
D00006,LF20110210,2/11/2011,4,Day,9:18:00,330,NA,NA,1,0.57,38.27,8.1,17000,10.06,695,0,Discharge = 18300 cfs.
D00009,LF20110210,2/11/2011,4,Day,10:43:00,312,NA,NA,1,0.54,34.32,8.1,16000,9.87,695,0,Discharge = 19400 cfs.
D00533,LF20130207,2/7/2013,4,Day,15:18:42,302,24,NA,1,0.51,31.51,7.4,9010,8.38,672,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00535,LF20130207,2/7/2013,4,Day,15:46:06,297,21,NA,1,0.58,35.04,7.4,9900,8.61,671,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00536,LF20130207,2/7/2013,4,Day,15:58:00,303,20,NA,1,0.52,31.92,7.4,10300,8.72,671,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00541,LF20130207,2/7/2013,4,Day,15:04:47,302,21,NA,1,0.5,30.47,7.4,8640,8.28,670,0,Abbreviated Lees Ferry Lagrangian sampling.
D00549,LF20130405,4/5/2013,4,Day,14:26:36,184,24.5,NA,1,0.47,17.63,8.1,7230,7.87,770,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00550,LF20130405,4/5/2013,4,Day,14:37:16,184,25,NA,1,0.49,18.11,8.1,7230,7.87,770,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00551,LF20130405,4/5/2013,4,Day,14:49:43,182,21,NA,1,0.53,19.47,8.1,7390,7.92,769,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00552,LF20130405,4/5/2013,4,Day,15:02:13,185,19.5,NA,1,0.42,15.93,8.1,7530,7.96,767,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00553,LF20130405,4/5/2013,4,Day,14:12:26,184,19.5,NA,1,0.45,16.84,8.1,7100,7.83,773,0,Abbreviated Lees Ferry Lagrangian sampling.
D00735,LF20130314,3/14/2013,4,Day,16:02:08,284,20,NA,1,0.38,21.73,7.6,10700,8.81,742,0,Abbreviated Lees Ferry Lagrangian sampling.
D00736,LF20130314,3/14/2013,4,Day,16:14:43,271,24,NA,1,0.45,24.78,7.6,10800,8.84,742,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00737,LF20130314,3/14/2013,4,Day,16:28:03,289,24,NA,1,0.47,27.26,7.6,10900,8.86,742,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00738,LF20130314,3/14/2013,4,Day,16:41:34,307,20,NA,1,0.5,31.07,7.7,10900,8.86,742,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00739,LF20130314,3/14/2013,4,Day,16:53:30,301,17.5,NA,1,0.4,24.53,7.7,11000,8.88,742,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00740,LF20130521,5/21/2013,4,Day,11:52:40,264,25,NA,1,0.49,26.47,8.6,8000,8.06,782,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00741,LF20130521,5/21/2013,4,Day,12:12:20,259,24.5,NA,1,0.53,27.57,8.6,7930,8.04,783,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00742,LF20130521,5/21/2013,4,Day,12:26:35,264,21,NA,1,0.56,30,8.6,7900,8.03,784,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00743,LF20130521,5/21/2013,4,Day,12:40:40,268,19.5,NA,1,0.38,20.68,8.6,7870,8.02,785,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00744,LF20130521,5/21/2013,4,Day,13:00:30,272,20,NA,1,0.43,23.84,8.6,7870,8.02,786,0,Abbreviated Lees Ferry Lagrangian sampling. Boat failure during sample collection: only includes 2/5 samples from the dataset.
D00769,LF20130528,5/28/2013,4,Crepuscular,20:21:38,323,23,NA,1,0.45,29.54,9.2,8070,8.08,780,0,"Dam to Lees Ferry Lagrangian sampling. Official sunset was 19:38, so I made everything from 18:38 to 20:38 a Crepuscular sample, and anything after 20:38 a Night sample."
D00771,LF20130528,5/29/2013,4,Day,10:29:02,296,21,NA,1,0.42,25.03,9.2,8070,8.08,788,0,"Dam to Lees Ferry Lagrangian sampling. Official sunset was 19:38, so I made everything from 18:38 to 20:38 a Crepuscular sample, and anything after 20:38 a Night sample."
D00924,LF20130625,6/25/2013,4,Day,16:19:57,299,18,NA,1,0.13,8.09,9.4,12200,9.12,735,1,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Very few net flowmeter clicks verified (2017-06-28 JDM)."
D00925,LF20130625,6/25/2013,4,Day,16:36:35,302,22,NA,1,0.75,45.78,9.4,12600,9.2,734,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00926,LF20130625,6/25/2013,4,Day,16:49:20,301,25,NA,1,0.72,44.21,9.4,12900,9.27,733,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00927,LF20130625,6/25/2013,4,Day,17:01:54,300,25,NA,1,0.71,43.14,9.4,13300,9.35,732,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00928,LF20130625,6/26/2013,4,Day,17:17:50,300,22,NA,1,0.59,35.78,9.4,13600,9.42,759,0,"Abbreviated Lees Ferry Lagrangian sampling. Completed over the June 25-26th as time allowed, explaining time differences. No Sample #4; #s 5 and 6 were taken on 6/25/13, so their numbering fits with that date's collections."
D00937,LF20130821,8/21/2013,4,Day,16:28:14,315,24,NA,1,0.72,45.86,10.2,11500,8.95,744,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00938,LF20130821,8/21/2013,4,Day,16:40:46,297,24,NA,1,0.71,42.45,10.2,11700,8.99,747,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00939,LF20130821,8/21/2013,4,Day,16:52:19,310,21,NA,1,0.76,47.62,10.3,11700,8.99,747,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00940,LF20130821,8/21/2013,4,Day,17:04:42,314,20,NA,1,0.73,46.33,10.3,11900,9.04,751,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #)."
D00941,LF20130821,8/21/2013,4,Day,12:38:25,303,19,NA,1,0.54,32.93,10.1,9430,8.44,750,0,Abbreviated Lees Ferry Lagrangian sampling.
D00948,LF20121117,11/20/2012,3,Day,7:21:00,210,26,NA,1,1.71,26.16,9.7,42900,13.61,684,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00949,LF20121117,11/20/2012,24,Crepuscular,7:40:30,240,30,NA,1,1.38,24.25,9.6,43200,13.64,684,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00950,LF20121117,11/20/2012,24,Day,7:58:20,250,31.5,NA,1,1.45,26.48,9.6,43300,13.65,688,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00951,LF20121117,11/17/2012,24,Night,19:25:00,420,24,NA,1,0.4,12.4,10.2,8570,8.26,640,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00952,LF20121117,11/17/2012,24,Night,19:41:00,420,25,NA,1,0.43,13.15,10.2,8610,8.27,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00953,LF20121117,11/17/2012,24,Night,19:55:00,420,19,NA,1,0.4,12.24,10.2,8680,8.29,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00954,LF20121117,11/17/2012,24,Night,20:17:00,480,18,NA,1,0.39,13.6,10.2,8720,8.3,639,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00955,LF20121117,11/17/2012,4,Night,20:43:00,360,19,NA,1,0.45,32.65,10.3,8790,8.32,637,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00956,LF20121117,11/18/2012,24,Day,13:58:20,420,23.5,NA,1,0.43,13.22,10,7130,7.84,644,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00957,LF20121117,11/18/2012,24,Day,14:11:40,420,25,NA,1,0.45,13.95,10,7160,7.85,641,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00958,LF20121117,11/18/2012,24,Day,14:23:50,420,19,NA,1,0.5,15.37,10,7200,7.86,642,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00959,LF20121117,11/18/2012,24,Day,14:35:20,415,18,NA,1,0.49,14.97,10,7200,7.86,642,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00961,LF20121117,11/18/2012,4,Day,16:55:40,420,19,NA,1,0.49,42.05,10.1,7730,8.02,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00962,LF20121117,11/18/2012,24,Crepuscular,17:10:50,420,23.5,NA,1,0.44,13.44,10.1,7830,8.05,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D00963,LF20121117,11/18/2012,24,Crepuscular,17:38:20,440,25,NA,1,0.45,14.54,10.1,8070,8.12,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
