"","SpeciesID","Kingdom","Phylum","Class","Order","Suborder","Superfamily","Family","Subfamily","Genus","Species","Habitat","Stage","FFG","Description","RegressionA","RegressionB","Notes"
"1","CERA","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Ceratopogonidae","","","","Aquatic","Adult","Predator","Diptera: Ceratopogonidae (Adult)",0.04,2.26,"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
"2","CERL","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Ceratopogonidae","","","","Aquatic","Larva","Predator","Diptera: Ceratopogonidae (Larva)",0.0025,2.46,"Length-mass regression values from Benke et al. 1999, Table 4."
"3","CERP","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Ceratopogonidae","","","","Aquatic","Pupa","Predator","Diptera: Ceratopogonidae (Pupa)",0.0025,2.46,"Length-mass regression values from Benke et al. 1999, Table 4, for larvae."
"4","CHIA","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Chironomidae","","","","Aquatic","Adult","","Diptera: Chironomidae (Adult)",0.04,2.26,"Length-mass regression values from Sabo et al. 2002, Table 2, for Dipera adults."
"5","CHIL","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Chironomidae","","","","Aquatic","Larva","","Diptera: Chironomidae (Larva)",0.0018,2.61,"Length-mass regression values from Benke et al. 1999, Table 4."
"6","CHIP","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Chironomoidea","Chironomidae","","","","Aquatic","Pupa","","Diptera: Chironomidae (Pupa)",0.0018,2.61,"Length-mass regression values from Benke et al. 1999, Table 4, for larvae."
"7","CLAM","Animalia","Mollusca","Bivalvia","Veneroida","Sphaeriacea","Corbiculoidea","","","","","Aquatic","Adult","CollectorFilterer","Veneroida: Corbiculoidea (Superfamily) (Adult)",0.01,2.47,"Generally Pisidiidae or Corbicula. Length-mass regression values from Benke et al. 1999, Appendix 2, for Pisidium spp. "
"8","COLA","Animalia","Arthropoda","Insecta","Coleoptera","","","","","","","Terrestrial","Larva","Generalist","Coleoptera (Larva)",0.0077,2.91,"Length-mass regression values from Benke et al. 1999, Table 2."
"9","COLE","Animalia","Arthropoda","Insecta","Coleoptera","","","","","","","Terrestrial","Adult","Generalist","Coleoptera (Adult)",0.04,2.64,"Length-mass regression values from Sabo et al. 2002, Table 2."
"10","COLL","Animalia","Arthropoda","Entognatha","Collembola","","","","","","","Intermediate","Adult","Generalist","Collembola (Adult)",0.0024,3.67,"Length-mass regression values from Hodar 1996, Table 2."
"11","COPE","Animalia","Arthropoda","Maxillopoda","","","","","","","","Aquatic","Adult","","Maxillopoda (Adult)",0.001,1,"Length-mass regression values from unknown source."
"12","DAPH","Animalia","Arthropoda","Branchiopoda","Diplostraca","Cladocera","Daphnoidea","Daphniidae","Daphniinae","Daphnia","","Aquatic","Adult","","Diplostraca: Daphniidae: Daphnia spp. (Adult)",0.00233,1,"Length-mass regression values from unknown source."
"13","DIPL","Animalia","Arthropoda","Insecta","Diptera","","","","","","","Terrestrial","Larva","","Diptera (Larva)",0.0025,2.69,"Length-mass regression values from Benke et al. 1999, Table 2."
"14","DIPT","Animalia","Arthropoda","Insecta","Diptera","","","","","","","Terrestrial","Adult","Generalist","Diptera (Adult)",0.04,2.26,"Length-mass regression values from Sabo et al. 2002, Table 2."
"15","DYTL","Animalia","Arthropoda","Insecta","Coleoptera","Adephaga","Dytiscoidea","Dytiscidae","","","","Aquatic","Larva","predator","Coleoptera: Dytiscidae (Larva)",0.0077,2.91,"Length-mass regression values from Benke et al. 1999, Table 2, for Coleoptera."
"16","ELML","Animalia","Arthropoda","Insecta","Coleoptera","Polyphaga","Byrrhoidea","Elmidae","","","","Aquatic","Larva","ScraperGrazer","Coleoptera: Elmidae (Larva)",0.0074,2.87,"Length-mass regression values from Benke et al. 1999, Table 4."
"17","EMPA","Animalia","Arthropoda","Insecta","Diptera","Brachycera","Empidoidea","Empididae","","","","Aquatic","Adult","","Diptera: Empididae (Adult)",0.04,2.26,"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera. "
"18","EMPL","Animalia","Arthropoda","Insecta","Diptera","Brachycera","Empidoidea","Empididae","","","","Aquatic","Larva","Predator","Diptera: Empididae (Larva)",0.0054,2.54,"Length-mass regression values from Benke et al. 1999, Table 4."
"19","EPHL","Animalia","Arthropoda","Insecta","Ephemeroptera","","","","","","","Aquatic","Larva","","Ephemeroptera (Larva)",0.0071,2.83,"Length-mass regression values from Benke et al. 1999, Table 2."
"20","FORM","Animalia","Arthropoda","Insecta","Hymenoptera","Apocrita","Formicoidea","Formicidae","","","","Terrestrial","Adult","Generalist","Hymenoptera: Formicidae (Adult)",0.02,2.66,"Length-mass regression values from Sabo et al. 2002, Table 3."
"21","FUNG","Animalia","Arthropoda","Insecta","Diptera","Nematocera","Sciaroidea","","","","","Terrestrial","Adult","","Diptera: Sciaroidea (Superfamily) (Adult)",0.04,2.26,"Includes Sciaridae, Diadocidiidae, Ditomyiidae, Keroplatidae, Bolitophilidae, and Mycetophilidae, and Cecidomyiidae. Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera. "
