BarcodeID,SpeciesID,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
D00002,CHIL,0,0,4,14,11,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,GAMM,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,NZMS,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00002,SIML,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,CHIL,0,0,2,12,9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,GAMM,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,NZMS,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00003,SIML,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,CHIL,0,0,6,7,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,GAMM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,NZMS,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00004,SIML,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,CHIL,0,2,2,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,NZMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00005,SIML,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,CHIL,0,0,6,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,NZMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00006,SIML,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,CHIL,0,0,6,17,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,GAMM,0,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,NZMS,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00009,SIML,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,CHIL,0,0,4,13,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,GAMM,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,NZMS,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00533,SIML,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,CHIL,0,0,6,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,GAMM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,NZMS,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00535,SIML,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,CHIL,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,NZMS,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00536,SIML,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,CHIL,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,GAMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,NZMS,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00541,SIML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
