BarcodeID,SpeciesID,CountTotal,SizeMean,SizeMedian,SizeSD,BiomassTotal,Notes
D00002,CHIL,45,3.98,4,1.18,3.51,
D00002,GAMM,9,3.78,4,1.2,4.31,
D00002,NZMS,31,0.52,0.5,0.09,0.13,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00002,SIML,1,7,7,NA,0.7,
D00003,CHIL,35,3.97,4,1.12,2.68,
D00003,GAMM,7,3,3,0.58,1.5,
D00003,NZMS,60,0.5,0.5,0,0.22,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00003,SIML,2,4,4,1.41,0.3,
D00004,CHIL,29,3.86,4,1.36,2.22,
D00004,GAMM,1,4,4,NA,0.45,
D00004,NZMS,84,0.5,0.5,0,0.31,
D00004,SIML,3,4.33,4,0.58,0.51,
D00005,CHIL,23,3.3,3,1.15,1.16,
D00005,GAMM,0,NA,NA,NA,0,
D00005,NZMS,0,NA,NA,NA,0,
D00005,SIML,2,3.5,3.5,0.71,0.18,
D00006,CHIL,18,3,3,0.91,0.68,
D00006,GAMM,0,NA,NA,NA,0,
D00006,NZMS,0,NA,NA,NA,0,
D00006,SIML,3,3.67,4,1.53,0.4,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00009,CHIL,41,3.56,3,1.07,2.42,
D00009,GAMM,11,3.36,3,0.92,3.58,
D00009,NZMS,106,0.5,0.5,0,0.39,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D00009,SIML,3,3.67,3,2.08,0.51,
D00533,CHIL,28,3.36,3,0.87,1.35,
D00533,GAMM,3,2,1,1.73,0.47,
D00533,NZMS,251,0.5,0.5,0,0.93,
D00533,SIML,1,2,2,NA,0.02,
D00535,CHIL,24,3.12,3,0.85,0.98,
D00535,GAMM,1,2,2,NA,0.06,
D00535,NZMS,103,0.5,0.5,0,0.38,
D00535,SIML,3,2.33,2,0.58,0.08,
D00536,CHIL,7,2.86,3,1.07,0.23,
D00536,GAMM,0,NA,NA,NA,0,
D00536,NZMS,53,0.53,0.5,0.21,0.3,
D00536,SIML,2,2,2,0,0.03,
D00541,CHIL,9,3.56,4,1.13,0.52,
D00541,GAMM,0,NA,NA,NA,0,
D00541,NZMS,94,0.5,0.5,0,0.35,
D00541,SIML,0,NA,NA,NA,0,
D00549,CHIL,63,2.84,3,1,2.17,
D00549,GAMM,1,2,2,NA,0.06,
D00549,NZMS,19,0.5,0.5,0,0.07,
D00549,SIML,0,NA,NA,NA,0,
D00550,CHIL,54,2.44,2,0.72,1.19,
D00550,GAMM,0,NA,NA,NA,0,
D00550,NZMS,24,0.56,0.5,0.31,0.2,
D00550,SIML,0,NA,NA,NA,0,
D00551,CHIL,43,2.51,3,0.94,1.09,
D00551,GAMM,0,NA,NA,NA,0,
D00551,NZMS,30,0.57,0.5,0.29,0.23,
D00551,SIML,0,NA,NA,NA,0,
D00552,CHIL,10,2,2,0.94,0.16,
D00552,GAMM,0,NA,NA,NA,0,
D00552,NZMS,6,1,1,0.55,0.18,
D00552,SIML,1,2,2,NA,0.02,
D00553,CHIL,55,2.62,2,1.19,1.79,
D00553,GAMM,1,1,1,NA,0.01,
D00553,NZMS,3,1,1,0,0.06,
D00553,SIML,0,NA,NA,NA,0,
D00735,CHIL,12,2.83,3,1.03,0.41,
D00735,GAMM,0,NA,NA,NA,0,
D00735,NZMS,5,0.6,0.5,0.22,0.03,
D00735,SIML,0,NA,NA,NA,0,
